ID,Base Product,Category,Popular Brands,Search Variations,Misspellings/Regional,Popularity Index (1-100)
905,Sooji (Fine),Staples (Flours & Grains),"TRS, Heera, Annam","Fine semolina, Rava fine","Suji fine, Rawa fine",86
906,Rice Flour,Staples (Flours & Grains),"Annam, TRS, Heera","Chawal ka atta, Rice powder",Arisi maavu,94
907,Bajra Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Pearl millet flour,Bajari,91
908,Jowar Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Sorghum flour,Jovar,89
909,Basmati Rice (Extra Long),Rice,"Tilda, India Gate, Daawat, Kohinoor, Akash, Laila","Long grain rice, Biryani rice, Aged rice","Basmathi, Bismati, Chawal",90
910,Sona Masoori Rice,Rice,"India Gate, 9Grains, Annam, Royal, TRS, Heera","South Indian rice, Short grain, Ponni","Sona Masuri, Masuri rice",94
911,Idli Rice,Rice,"Annam, TRS, Heera, Ponni","Short grain, Steamed rice","Idly rice, Arisi",90
912,Matta Rice,Rice,"Nirapara, Heera, Annam, Double Horse","Red rice, Kerala rice, Palakkadan",Mata rice,85
913,Poha (Thick),Rice,"TRS, Heera, Annam, Natco","Flattened rice, Beaten rice","Powwa, Aval, Atukulu",97
914,Poha (Thin),Rice,"TRS, Heera, Annam",Thin flattened rice,Pauwa thin,86
915,Toor Dal,Lentils & Pulses,"TRS, Heera, Annam, Chitalya, East End","Arhar dal, Split pigeon peas, Yellow lentils","Tur dal, Thoor, Thuvaram",71
916,Moong Dal (Yellow),Lentils & Pulses,"TRS, Heera, Annam, Chitalya","Split mung beans, Yellow mung","Mong dal, Mung",81
917,Chana Dal,Lentils & Pulses,"TRS, Heera, Annam, East End","Bengal gram, Split chickpeas","Channa dal, Kadalai paruppu",84
918,Urad Dal (White Gota),Lentils & Pulses,"TRS, Heera, Annam, Natco","Black gram whole, White urad","Urrad, Urid, Ulutham",94
919,Masoor Dal (Red),Lentils & Pulses,"TRS, Heera, Annam, East End",Red lentils split,"Masur dal, Mussoor",70
920,Kala Chana,Lentils & Pulses,"TRS, Heera, Annam",Black chickpeas whole,"Kala channa, Kadala",91
921,Kabuli Chana,Lentils & Pulses,"TRS, Heera, Annam","Chickpeas, Garbanzo beans","Chole, Channa",88
922,Rajma (Chitra),Lentils & Pulses,"TRS, Heera, Annam",Speckled kidney beans,Rajmah,75
923,Moong Whole,Lentils & Pulses,"TRS, Heera, Annam",Green gram whole,Moong sabut,82
924,Turmeric Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch, Shakti","Haldi, Curcumin","Tumeric, Haldee",78
925,Red Chili Powder,Spices & Masalas,"MDH, Everest, TRS, Shan, Catch","Mirch, Spicy powder, Lal mirch","Chilly, Chilli",73
926,Kashmiri Mirch Powder,Spices & Masalas,"Everest, MDH, TRS, Catch","Mild chili, Red color powder",Kashmiri chilli,80
927,Garam Masala,Spices & Masalas,"MDH, Everest, TRS, Shan, MTR, Badshah","Curry spice mix, Warm spice","Garam masla, Gharam",92
928,Coriander Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch",Dhaniya powder,"Coriender, Dhanya",84
929,Cumin Seeds,Spices & Masalas,"TRS, Heera, Annam, MDH",Jeera whole,"Zeera, Jera",93
930,Mustard Seeds (Black),Spices & Masalas,"TRS, Heera, Annam","Rai, Sarson","Musterd, Rai",75
931,Sambar Masala,Spices & Masalas,"MTR, Aachi, Everest, Eastern, 777",Sambar powder,"Sambhar, Sambar podi",81
932,Biryani Masala,Spices & Masalas,"Shan, MDH, Lucky, Everest, Ahmed",Biryani rice spice,"Biriyani, Briyani",84
933,Kitchen King Masala,Spices & Masalas,"MDH, Everest, Badshah",All purpose spice mix,Kitchen king,82
934,Chana Masala,Spices & Masalas,"MDH, Everest, Shan, Catch",Chole masala,Channa masala,74
935,Pav Bhaji Masala,Spices & Masalas,"Everest, MDH, Badshah",Bhaji spice,Paav bhaji,89
936,Chicken Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Poultry spice,Chiken masala,71
937,Meat Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Mutton/Meat spice,Meet masala,73
938,Aloo Bhujia,Snacks & Sweets,"Haldiram's, Bikano, Heera, Bikaji","Potato sev, Namkeen","Alu bhujia, Haldirams",71
939,Moong Dal Snack,Snacks & Sweets,"Haldiram's, Bikano, Bikaji",Fried moong lentils,Mung snack,76
940,Khatta Meetha,Snacks & Sweets,"Haldiram's, Bikano, Heera",Sweet and sour mix,Katta metha,43
941,Bhujia Sev,Snacks & Sweets,"Haldiram's, Bikaji, Bikano",Fine spicy sev,Bhujiya,42
942,Parle-G,Snacks & Sweets,Parle,Milk glucose biscuits,"Parleg, Parlay",43
943,Good Day Cashew,Snacks & Sweets,Britannia,Cashew butter cookies,Gud day,77
944,Hide & Seek,Snacks & Sweets,Parle,Chocolate chip cookies,Hide n seek,59
945,Marie Gold,Snacks & Sweets,Britannia,Tea biscuits,Mari gold,79
946,Bourbon Biscuits,Snacks & Sweets,"Britannia, Parle",Choco cream biscuits,Burbon,44
947,Gulab Jamun Mix,Snacks & Sweets,"Gits, MTR, Bambino",Milk solid sweet mix,Gulab jamon,55
948,Soan Papdi,Snacks & Sweets,"Haldiram's, Bikano",Flaky sweet dessert,Son papdi,45
949,Pure Desi Ghee,"Oils, Ghee & Condiments","Amul, Khanum, KTC, Nanak, Kheer","Clarified butter, Pure ghee","Ghi, Ghe",69
950,Mustard Oil,"Oils, Ghee & Condiments","Fortune, KTC, P&B, Engine",Sarson ka tel,Musterd oil,40
951,Coconut Oil (Edible),"Oils, Ghee & Condiments","Parachute, KTC, Heera, KPL Shudhi",Nariyal tel,Cocanut oil,47
952,Mango Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka, Patak's",Aam ka achar,"Mango pikkle, Achar",50
953,Mixed Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka",Mixed veg pickle,Mix achar,52
954,Ginger Garlic Paste,"Oils, Ghee & Condiments","Mother's Recipe, Priya, TRS, Heera",Adrak lasun paste,GG paste,82
955,Tamarind Paste,"Oils, Ghee & Condiments","TRS, Tamicon, Heera",Imli paste,Tamrind,72
956,Paneer,Ready to Eat & Frozen,"Amul, Nanak, Ayurveda, Vadilal, Ashoka",Cottage cheese,"Panir, Panneer",42
957,Mixed Veg Frozen,Ready to Eat & Frozen,"Vadilal, Ashoka, Daily Delight",Frozen vegetables,Mixed veg,65
958,Aloo Paratha (Frozen),Ready to Eat & Frozen,"Vadilal, Haldiram's, Ashoka, Shana",Stuffed bread,Parata,52
959,Dal Makhani (RTE),Ready to Eat & Frozen,"MTR, Ashoka, Kitchens of India",Heat and eat lentils,Daal makhni,55
960,Idli Batter,Ready to Eat & Frozen,"ID Fresh, Shastha, Annam",Fermented batter,Idly batter,83
961,Chakki Atta,Staples (Flours & Grains),"Aashirvaad, Pillsbury, Fortune, Elephant, Heera, Annapurna","Wheat flour, Roti flour, Whole wheat","Ashirwad, Aata, Atte",86
962,Maida,Staples (Flours & Grains),"TRS, Heera, Annam, KTC","All purpose flour, Plain flour","Mayda, Maida flour",98
963,Besan,Staples (Flours & Grains),"TRS, Heera, Annam, Laxmi, KTC","Gram flour, Chickpea flour","Baisan, Basin, Besun",95
964,Sooji (Coarse),Staples (Flours & Grains),"TRS, Heera, Annam, Natco","Semolina, Rava, Rawa","Suji, Sheera",89
965,Sooji (Fine),Staples (Flours & Grains),"TRS, Heera, Annam","Fine semolina, Rava fine","Suji fine, Rawa fine",97
966,Rice Flour,Staples (Flours & Grains),"Annam, TRS, Heera","Chawal ka atta, Rice powder",Arisi maavu,96
967,Bajra Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Pearl millet flour,Bajari,97
968,Jowar Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Sorghum flour,Jovar,89
969,Basmati Rice (Extra Long),Rice,"Tilda, India Gate, Daawat, Kohinoor, Akash, Laila","Long grain rice, Biryani rice, Aged rice","Basmathi, Bismati, Chawal",87
970,Sona Masoori Rice,Rice,"India Gate, 9Grains, Annam, Royal, TRS, Heera","South Indian rice, Short grain, Ponni","Sona Masuri, Masuri rice",92
971,Idli Rice,Rice,"Annam, TRS, Heera, Ponni","Short grain, Steamed rice","Idly rice, Arisi",85
972,Matta Rice,Rice,"Nirapara, Heera, Annam, Double Horse","Red rice, Kerala rice, Palakkadan",Mata rice,92
973,Poha (Thick),Rice,"TRS, Heera, Annam, Natco","Flattened rice, Beaten rice","Powwa, Aval, Atukulu",97
974,Poha (Thin),Rice,"TRS, Heera, Annam",Thin flattened rice,Pauwa thin,99
975,Toor Dal,Lentils & Pulses,"TRS, Heera, Annam, Chitalya, East End","Arhar dal, Split pigeon peas, Yellow lentils","Tur dal, Thoor, Thuvaram",93
976,Moong Dal (Yellow),Lentils & Pulses,"TRS, Heera, Annam, Chitalya","Split mung beans, Yellow mung","Mong dal, Mung",74
977,Chana Dal,Lentils & Pulses,"TRS, Heera, Annam, East End","Bengal gram, Split chickpeas","Channa dal, Kadalai paruppu",77
978,Urad Dal (White Gota),Lentils & Pulses,"TRS, Heera, Annam, Natco","Black gram whole, White urad","Urrad, Urid, Ulutham",86
979,Masoor Dal (Red),Lentils & Pulses,"TRS, Heera, Annam, East End",Red lentils split,"Masur dal, Mussoor",75
980,Kala Chana,Lentils & Pulses,"TRS, Heera, Annam",Black chickpeas whole,"Kala channa, Kadala",78
981,Kabuli Chana,Lentils & Pulses,"TRS, Heera, Annam","Chickpeas, Garbanzo beans","Chole, Channa",84
982,Rajma (Chitra),Lentils & Pulses,"TRS, Heera, Annam",Speckled kidney beans,Rajmah,70
983,Moong Whole,Lentils & Pulses,"TRS, Heera, Annam",Green gram whole,Moong sabut,91
984,Turmeric Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch, Shakti","Haldi, Curcumin","Tumeric, Haldee",87
985,Red Chili Powder,Spices & Masalas,"MDH, Everest, TRS, Shan, Catch","Mirch, Spicy powder, Lal mirch","Chilly, Chilli",85
986,Kashmiri Mirch Powder,Spices & Masalas,"Everest, MDH, TRS, Catch","Mild chili, Red color powder",Kashmiri chilli,76
987,Garam Masala,Spices & Masalas,"MDH, Everest, TRS, Shan, MTR, Badshah","Curry spice mix, Warm spice","Garam masla, Gharam",78
988,Coriander Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch",Dhaniya powder,"Coriender, Dhanya",82
989,Cumin Seeds,Spices & Masalas,"TRS, Heera, Annam, MDH",Jeera whole,"Zeera, Jera",92
990,Mustard Seeds (Black),Spices & Masalas,"TRS, Heera, Annam","Rai, Sarson","Musterd, Rai",91
991,Sambar Masala,Spices & Masalas,"MTR, Aachi, Everest, Eastern, 777",Sambar powder,"Sambhar, Sambar podi",79
992,Biryani Masala,Spices & Masalas,"Shan, MDH, Lucky, Everest, Ahmed",Biryani rice spice,"Biriyani, Briyani",80
993,Kitchen King Masala,Spices & Masalas,"MDH, Everest, Badshah",All purpose spice mix,Kitchen king,76
994,Chana Masala,Spices & Masalas,"MDH, Everest, Shan, Catch",Chole masala,Channa masala,77
995,Pav Bhaji Masala,Spices & Masalas,"Everest, MDH, Badshah",Bhaji spice,Paav bhaji,93
996,Chicken Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Poultry spice,Chiken masala,72
997,Meat Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Mutton/Meat spice,Meet masala,86
998,Aloo Bhujia,Snacks & Sweets,"Haldiram's, Bikano, Heera, Bikaji","Potato sev, Namkeen","Alu bhujia, Haldirams",63
999,Moong Dal Snack,Snacks & Sweets,"Haldiram's, Bikano, Bikaji",Fried moong lentils,Mung snack,66
1000,Khatta Meetha,Snacks & Sweets,"Haldiram's, Bikano, Heera",Sweet and sour mix,Katta metha,57
